exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
A,43,RF,0,0.9381574602575592,0.9302694379995992,0.1,0.8,30,3,1
A,43,RF,1,0.9381574602575592,0.9327022474749437,0.1,0.8,30,3,1
A,43,RF,2,0.9381574602575592,0.9338860164225022,0.1,0.8,30,3,1
A,43,RF,3,0.9410809284954292,0.9367529378624356,0.1,0.8,30,3,1
A,43,RF,4,0.9449801474758933,0.9377563458213949,0.1,0.8,30,3,1
A,43,RF,5,0.9449801474758933,0.9379113301431339,0.1,0.8,30,3,1
A,43,RF,6,0.9449801474758933,0.9391355862245162,0.1,0.8,30,3,1
A,43,RF,7,0.9449801474758933,0.941431833304623,0.1,0.8,30,3,1
A,43,RF,8,0.9449801474758933,0.940889979704615,0.1,0.8,30,3,1
A,43,RF,9,0.9449801474758933,0.9424432702926108,0.1,0.8,30,3,1
A,43,RF,10,0.9449801474758933,0.9429323507380459,0.1,0.8,30,3,1
A,43,RF,11,0.9449801474758933,0.9438596774890022,0.1,0.8,30,3,1
A,43,RF,12,0.9449801474758933,0.9435157657888535,0.1,0.8,30,3,1
A,43,RF,13,0.9449801474758933,0.9443961610777202,0.1,0.8,30,3,1
A,43,RF,14,0.9449801474758933,0.9425697815233843,0.1,0.8,30,3,1
A,43,RF,15,0.9449801474758933,0.9418847309395321,0.1,0.8,30,3,1
A,43,RF,16,0.9449801474758933,0.9432318583682975,0.1,0.8,30,3,1
A,43,RF,17,0.9449801474758933,0.9430769454394299,0.1,0.8,30,3,1
A,43,RF,18,0.9449801474758933,0.9428026697880367,0.1,0.8,30,3,1
A,43,RF,19,0.9449801474758933,0.9440500355162601,0.1,0.8,30,3,1
A,43,RF,20,0.9449801474758933,0.9431957326859559,0.1,0.8,30,3,1
A,43,RF,21,0.9449801474758933,0.9436582617398811,0.1,0.8,30,3,1
A,43,RF,22,0.9449801474758933,0.9441563352510601,0.1,0.8,30,3,1
A,43,RF,23,0.9449801474758933,0.9433071386996849,0.1,0.8,30,3,1
A,43,RF,24,0.9484538374983877,0.9444430149799276,0.1,0.8,30,3,1
