exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
B,44,LR,0,0.9672480620155038,0.7682730288168667,0.2,0.7,60,2,2
B,44,LR,1,0.9672480620155038,0.8797286427131241,0.2,0.7,60,2,2
B,44,LR,2,0.9672480620155038,0.951228677576281,0.2,0.7,60,2,2
B,44,LR,3,0.9672480620155038,0.955398701217144,0.2,0.7,60,2,2
B,44,LR,4,0.9716719303282609,0.9604755542803124,0.2,0.7,60,2,2
B,44,LR,5,0.9716719303282609,0.9614535986699239,0.2,0.7,60,2,2
B,44,LR,6,0.9716719303282609,0.9615946216338114,0.2,0.7,60,2,2
B,44,LR,7,0.9716719303282609,0.9616199853987727,0.2,0.7,60,2,2
B,44,LR,8,0.9716719303282609,0.961540095635849,0.2,0.7,60,2,2
B,44,LR,9,0.9716719303282609,0.9610715827670228,0.2,0.7,60,2,2
B,44,LR,10,0.9716719303282609,0.9605436062084416,0.2,0.7,60,2,2
B,44,LR,11,0.9716719303282609,0.9600220986132159,0.2,0.7,60,2,2
B,44,LR,12,0.9716719303282609,0.9604759156245065,0.2,0.7,60,2,2
B,44,LR,13,0.9716719303282609,0.960445798079898,0.2,0.7,60,2,2
B,44,LR,14,0.9716719303282609,0.9600805714645831,0.2,0.7,60,2,2
B,44,LR,15,0.9716719303282609,0.9606837799009185,0.2,0.7,60,2,2
B,44,LR,16,0.9716719303282609,0.9628406131421556,0.2,0.7,60,2,2
B,44,LR,17,0.9716719303282609,0.9634769345030971,0.2,0.7,60,2,2
B,44,LR,18,0.9716719303282609,0.9632297968207666,0.2,0.7,60,2,2
B,44,LR,19,0.9716719303282609,0.9629699045650312,0.2,0.7,60,2,2
B,44,LR,20,0.9716719303282609,0.964922885935038,0.2,0.7,60,2,2
B,44,LR,21,0.9716719303282609,0.9628892922671721,0.2,0.7,60,2,2
B,44,LR,22,0.9716719303282609,0.9636441327288772,0.2,0.7,60,2,2
B,44,LR,23,0.9716719303282609,0.962695314963354,0.2,0.7,60,2,2
B,44,LR,24,0.9716719303282609,0.9619567388306006,0.2,0.7,60,2,2
