exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
C,43,LR,0,0.9797166881031751,0.7272780374874258,0.05,0.9,30,4,2
C,43,LR,1,0.9804736186123805,0.9542664653106592,0.05,0.9,30,4,2
C,43,LR,2,0.9804736186123805,0.9711441968049506,0.05,0.9,30,4,2
C,43,LR,3,0.9804736186123805,0.9760421615852591,0.05,0.9,30,4,2
C,43,LR,4,0.9804736186123805,0.9791705591155151,0.05,0.9,30,4,2
C,43,LR,5,0.9804736186123805,0.9781010063716581,0.05,0.9,30,4,2
C,43,LR,6,0.9804736186123805,0.9777094128770358,0.05,0.9,30,4,2
C,43,LR,7,0.9804736186123805,0.9788727502020453,0.05,0.9,30,4,2
C,43,LR,8,0.9804736186123805,0.9791410803786174,0.05,0.9,30,4,2
C,43,LR,9,0.9804736186123805,0.9768218653207745,0.05,0.9,30,4,2
C,43,LR,10,0.9804736186123805,0.9780042946627894,0.05,0.9,30,4,2
C,43,LR,11,0.9804736186123805,0.980336484710921,0.05,0.9,30,4,2
C,43,LR,12,0.9804736186123805,0.9791470180049643,0.05,0.9,30,4,2
C,43,LR,13,0.9804736186123805,0.9784181622766389,0.05,0.9,30,4,2
C,43,LR,14,0.9804736186123805,0.9800306647198376,0.05,0.9,30,4,2
C,43,LR,15,0.9804736186123805,0.975642237082553,0.05,0.9,30,4,2
C,43,LR,16,0.9804736186123805,0.9776931219638239,0.05,0.9,30,4,2
C,43,LR,17,0.9804736186123805,0.9772941880715763,0.05,0.9,30,4,2
C,43,LR,18,0.9804736186123805,0.9795195828124198,0.05,0.9,30,4,2
C,43,LR,19,0.9804736186123805,0.9791627940990466,0.05,0.9,30,4,2
C,43,LR,20,0.9804736186123805,0.9792453150095007,0.05,0.9,30,4,2
C,43,LR,21,0.9804736186123805,0.977989103487172,0.05,0.9,30,4,2
C,43,LR,22,0.9804736186123805,0.9800464408139198,0.05,0.9,30,4,2
C,43,LR,23,0.9804736186123805,0.9793419927351257,0.05,0.9,30,4,2
C,43,LR,24,0.9804736186123805,0.9779797798385668,0.05,0.9,30,4,2
C,43,LR,25,0.9804736186123805,0.9779575512990077,0.05,0.9,30,4,2
C,43,LR,26,0.9804736186123805,0.9773157879356072,0.05,0.9,30,4,2
C,43,LR,27,0.9804736186123805,0.9779034457235632,0.05,0.9,30,4,2
C,43,LR,28,0.9804736186123805,0.9763273917707207,0.05,0.9,30,4,2
C,43,LR,29,0.9804736186123805,0.9788668125756982,0.05,0.9,30,4,2
C,43,LR,30,0.9804736186123805,0.9787519072137978,0.05,0.9,30,4,2
C,43,LR,31,0.9804736186123805,0.9793356715639348,0.05,0.9,30,4,2
C,43,LR,32,0.9804736186123805,0.97772128812973,0.05,0.9,30,4,2
C,43,LR,33,0.9804736186123805,0.9791692465445234,0.05,0.9,30,4,2
C,43,LR,34,0.9804736186123805,0.9772268145796762,0.05,0.9,30,4,2
C,43,LR,35,0.9804736186123805,0.9771476527812044,0.05,0.9,30,4,2
C,43,LR,36,0.9804736186123805,0.9788154111436058,0.05,0.9,30,4,2
C,43,LR,37,0.9804736186123805,0.9791861475906514,0.05,0.9,30,4,2
C,43,LR,38,0.9804736186123805,0.9798935308183782,0.05,0.9,30,4,2
C,43,LR,39,0.9804736186123805,0.9791827615683931,0.05,0.9,30,4,2
C,43,LR,40,0.9804736186123805,0.9781104612945495,0.05,0.9,30,4,2
C,43,LR,41,0.9804736186123805,0.9769401567049332,0.05,0.9,30,4,2
C,43,LR,42,0.9804736186123805,0.9791470180049643,0.05,0.9,30,4,2
C,43,LR,43,0.9804736186123805,0.9788949787416044,0.05,0.9,30,4,2
C,43,LR,44,0.9804736186123805,0.977526946444117,0.05,0.9,30,4,2
C,43,LR,45,0.9804736186123805,0.9777530975463603,0.05,0.9,30,4,2
C,43,LR,46,0.9804736186123805,0.9778144797712012,0.05,0.9,30,4,2
C,43,LR,47,0.9804736186123805,0.9767325905293268,0.05,0.9,30,4,2
C,43,LR,48,0.9804736186123805,0.9801835747153793,0.05,0.9,30,4,2
C,43,LR,49,0.9804736186123805,0.9801835747153793,0.05,0.9,30,4,2
