model,exp_id,seeds,best_cv_f1_mean,best_cv_f1_std,holdout_f1_mean,holdout_f1_std,holdout_recall_mean,holdout_recall_std,training_time_mean
LR,A,3,0.9773245720101144,0.004895576286268896,0.9802054154995332,0.00695407887259217,0.9612403100775193,0.013426750446270326,73.41715010007222
LR,B,3,0.9774484727283537,0.005004504596277864,0.9802054154995332,0.00695407887259217,0.9612403100775193,0.013426750446270326,101.22918732961018
LR,C,3,0.9773493106479331,0.004925044466902018,0.9720787913558998,0.007121647038196749,0.9457364341085271,0.013426750446270392,19.55214564005534
RF,A,3,0.9434276661071301,0.0043606634363812105,0.9519938056523422,0.0006705578039368421,0.9224806201550387,0.013426750446270392,391.70536096890766
RF,B,3,0.9436437607639151,0.002600357735200547,0.9481736469688277,0.007287266736759429,0.9224806201550387,0.013426750446270392,1571.0799667040508
RF,C,3,0.9424854252030133,0.002190386710618759,0.9481736469688276,0.007287266736759429,0.9224806201550387,0.013426750446270392,594.3946243127187
