exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
B,42,RF,0,0.9375284997720019,0.9221954065166283,0.2,0.7,60,2,2
B,42,RF,1,0.9375284997720019,0.9240703685103285,0.2,0.7,60,2,2
B,42,RF,2,0.9375284997720019,0.9254690564574406,0.2,0.7,60,2,2
B,42,RF,3,0.9375284997720019,0.9267447236666423,0.2,0.7,60,2,2
B,42,RF,4,0.9375284997720019,0.9278855785872627,0.2,0.7,60,2,2
B,42,RF,5,0.9412633270362409,0.9294238600562011,0.2,0.7,60,2,2
B,42,RF,6,0.9412633270362409,0.9304354722051312,0.2,0.7,60,2,2
B,42,RF,7,0.9412633270362409,0.9328503793791285,0.2,0.7,60,2,2
B,42,RF,8,0.9412633270362409,0.9342272055342461,0.2,0.7,60,2,2
B,42,RF,9,0.9412633270362409,0.9357578893329614,0.2,0.7,60,2,2
B,42,RF,10,0.9449112978524742,0.9362849736912762,0.2,0.7,60,2,2
B,42,RF,11,0.9449112978524742,0.9368338105018399,0.2,0.7,60,2,2
B,42,RF,12,0.9449112978524742,0.937067083633002,0.2,0.7,60,2,2
B,42,RF,13,0.9449112978524742,0.9395945367654507,0.2,0.7,60,2,2
B,42,RF,14,0.9449112978524742,0.9388194623890129,0.2,0.7,60,2,2
B,42,RF,15,0.9449112978524742,0.9393459489401728,0.2,0.7,60,2,2
B,42,RF,16,0.9449112978524742,0.9405175443697805,0.2,0.7,60,2,2
B,42,RF,17,0.9449112978524742,0.9395637833147388,0.2,0.7,60,2,2
B,42,RF,18,0.9449112978524742,0.940140623575623,0.2,0.7,60,2,2
B,42,RF,19,0.9449112978524742,0.9385925358195021,0.2,0.7,60,2,2
B,42,RF,20,0.9449112978524742,0.9392196250002681,0.2,0.7,60,2,2
B,42,RF,21,0.9449112978524742,0.9400696678192717,0.2,0.7,60,2,2
B,42,RF,22,0.9449112978524742,0.9377816061150607,0.2,0.7,60,2,2
B,42,RF,23,0.9449112978524742,0.9384005045204254,0.2,0.7,60,2,2
B,42,RF,24,0.9449112978524742,0.939763217035815,0.2,0.7,60,2,2
