exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
A,42,RF,0,0.9328543409518474,0.9215178521116774,0.1,0.8,30,3,1
A,42,RF,1,0.9375284997720019,0.9252179173767598,0.1,0.8,30,3,1
A,42,RF,2,0.9375284997720019,0.9274472768199172,0.1,0.8,30,3,1
A,42,RF,3,0.9411764705882352,0.9319531172920769,0.1,0.8,30,3,1
A,42,RF,4,0.9411764705882352,0.9348824323835365,0.1,0.8,30,3,1
A,42,RF,5,0.9411764705882352,0.9365567229216458,0.1,0.8,30,3,1
A,42,RF,6,0.9411764705882352,0.9365465567692088,0.1,0.8,30,3,1
A,42,RF,7,0.9411764705882352,0.9385786062539682,0.1,0.8,30,3,1
A,42,RF,8,0.9411764705882352,0.9378527275409204,0.1,0.8,30,3,1
A,42,RF,9,0.9411764705882352,0.9394408856671227,0.1,0.8,30,3,1
A,42,RF,10,0.9411764705882352,0.9393192866399148,0.1,0.8,30,3,1
A,42,RF,11,0.9411764705882352,0.9402994496300783,0.1,0.8,30,3,1
A,42,RF,12,0.9411764705882352,0.9386007786993681,0.1,0.8,30,3,1
A,42,RF,13,0.9411764705882352,0.940531561461794,0.1,0.8,30,3,1
A,42,RF,14,0.9411764705882352,0.9391607736223048,0.1,0.8,30,3,1
A,42,RF,15,0.9411764705882352,0.940074708570864,0.1,0.8,30,3,1
A,42,RF,16,0.9411764705882352,0.9390576315902981,0.1,0.8,30,3,1
A,42,RF,17,0.9411764705882352,0.9404099624345861,0.1,0.8,30,3,1
A,42,RF,18,0.9411764705882352,0.9410364145658262,0.1,0.8,30,3,1
A,42,RF,19,0.9411764705882352,0.9401963075980717,0.1,0.8,30,3,1
A,42,RF,20,0.9411764705882352,0.9404284194297873,0.1,0.8,30,3,1
A,42,RF,21,0.9411764705882352,0.940531561461794,0.1,0.8,30,3,1
A,42,RF,22,0.9411764705882352,0.939794596526046,0.1,0.8,30,3,1
A,42,RF,23,0.9411764705882352,0.9403915054393849,0.1,0.8,30,3,1
A,42,RF,24,0.9411764705882352,0.9404099624345861,0.1,0.8,30,3,1
