exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
C,42,RF,0,0.9328543409518474,0.9215178521116774,0.05,0.9,30,4,2
C,42,RF,1,0.9411764705882352,0.9257878773517025,0.05,0.9,30,4,2
C,42,RF,2,0.9411764705882352,0.9280942594908302,0.05,0.9,30,4,2
C,42,RF,3,0.9411764705882352,0.9333505496627251,0.05,0.9,30,4,2
C,42,RF,4,0.9411764705882352,0.9371205362325369,0.05,0.9,30,4,2
C,42,RF,5,0.9412633270362409,0.9393322603509546,0.05,0.9,30,4,2
C,42,RF,6,0.9412633270362409,0.9403294874850137,0.05,0.9,30,4,2
C,42,RF,7,0.9412633270362409,0.9399878521228584,0.05,0.9,30,4,2
C,42,RF,8,0.9412633270362409,0.9410085481220913,0.05,0.9,30,4,2
C,42,RF,9,0.9412633270362409,0.9395346182505955,0.05,0.9,30,4,2
C,42,RF,10,0.9412633270362409,0.9403976577711188,0.05,0.9,30,4,2
C,42,RF,11,0.9412633270362409,0.9410172337668918,0.05,0.9,30,4,2
C,42,RF,12,0.9412633270362409,0.9401342348875394,0.05,0.9,30,4,2
C,42,RF,13,0.9412633270362409,0.9408927395247505,0.05,0.9,30,4,2
C,42,RF,14,0.9449112978524742,0.9410114433370248,0.05,0.9,30,4,2
C,42,RF,15,0.9449112978524742,0.9403745377270215,0.05,0.9,30,4,2
C,42,RF,16,0.9449112978524742,0.9427196201478006,0.05,0.9,30,4,2
C,42,RF,17,0.9449112978524742,0.9446680997980585,0.05,0.9,30,4,2
C,42,RF,18,0.9449112978524742,0.9441603514790928,0.05,0.9,30,4,2
C,42,RF,19,0.9449112978524742,0.9436581939199986,0.05,0.9,30,4,2
C,42,RF,20,0.9449112978524742,0.943982818992296,0.05,0.9,30,4,2
C,42,RF,21,0.9449112978524742,0.9445092117977915,0.05,0.9,30,4,2
C,42,RF,22,0.9449112978524742,0.9429915576007655,0.05,0.9,30,4,2
C,42,RF,23,0.9449112978524742,0.9438956137232141,0.05,0.9,30,4,2
C,42,RF,24,0.9449112978524742,0.9449112978524742,0.05,0.9,30,4,2
C,42,RF,25,0.9449112978524742,0.9437769975672706,0.05,0.9,30,4,2
C,42,RF,26,0.9449112978524742,0.9445251485607161,0.05,0.9,30,4,2
C,42,RF,27,0.9449112978524742,0.9434965105397956,0.05,0.9,30,4,2
C,42,RF,28,0.9449112978524742,0.9436365665622046,0.05,0.9,30,4,2
C,42,RF,29,0.9449112978524742,0.9432959970862701,0.05,0.9,30,4,2
C,42,RF,30,0.9449112978524742,0.9447896988252664,0.05,0.9,30,4,2
C,42,RF,31,0.9449112978524742,0.9441417069925631,0.05,0.9,30,4,2
C,42,RF,32,0.9449112978524742,0.9437924716912074,0.05,0.9,30,4,2
C,42,RF,33,0.9449112978524742,0.9441257702296384,0.05,0.9,30,4,2
C,42,RF,34,0.9449112978524742,0.9435307168065931,0.05,0.9,30,4,2
C,42,RF,35,0.9449112978524742,0.9449112978524742,0.05,0.9,30,4,2
C,42,RF,36,0.9449112978524742,0.9437367257229468,0.05,0.9,30,4,2
C,42,RF,37,0.9449112978524742,0.9433963513790533,0.05,0.9,30,4,2
C,42,RF,38,0.9449112978524742,0.9440200081303576,0.05,0.9,30,4,2
C,42,RF,39,0.9449112978524742,0.944022903345291,0.05,0.9,30,4,2
C,42,RF,40,0.9449112978524742,0.9445436055559173,0.05,0.9,30,4,2
C,42,RF,41,0.9449112978524742,0.9440199204740268,0.05,0.9,30,4,2
C,42,RF,42,0.9449112978524742,0.9441388117776295,0.05,0.9,30,4,2
C,42,RF,43,0.9449112978524742,0.9434064100557802,0.05,0.9,30,4,2
C,42,RF,44,0.9449112978524742,0.9444035495335084,0.05,0.9,30,4,2
C,42,RF,45,0.9449112978524742,0.9449112978524742,0.05,0.9,30,4,2
C,42,RF,46,0.9449112978524742,0.9442847458862363,0.05,0.9,30,4,2
C,42,RF,47,0.9449112978524742,0.9442446615332412,0.05,0.9,30,4,2
C,42,RF,48,0.9449112978524742,0.9431130689716426,0.05,0.9,30,4,2
C,42,RF,49,0.9449112978524742,0.9442788678000386,0.05,0.9,30,4,2
