exp_id,seed,model,generation,best_f1,mean_f1,mutation_rate,crossover_rate,population_size,tournament_k,elite_n
C,44,RF,0,0.9255043661547727,0.9097865124185226,0.05,0.9,30,4,2
C,44,RF,1,0.9364370925232347,0.9181370218354405,0.05,0.9,30,4,2
C,44,RF,2,0.9364370925232347,0.925448736617762,0.05,0.9,30,4,2
C,44,RF,3,0.9364370925232347,0.9327008781870086,0.05,0.9,30,4,2
C,44,RF,4,0.9364370925232347,0.935878107612398,0.05,0.9,30,4,2
C,44,RF,5,0.9364370925232347,0.9361829020183666,0.05,0.9,30,4,2
C,44,RF,6,0.9364370925232347,0.9357543162510276,0.05,0.9,30,4,2
C,44,RF,7,0.9364370925232347,0.9361490266796133,0.05,0.9,30,4,2
C,44,RF,8,0.9364370925232347,0.935805338366187,0.05,0.9,30,4,2
C,44,RF,9,0.9364370925232347,0.936042382094649,0.05,0.9,30,4,2
C,44,RF,10,0.9406526902347675,0.9361455136815203,0.05,0.9,30,4,2
C,44,RF,11,0.9406526902347675,0.9360793522174367,0.05,0.9,30,4,2
C,44,RF,12,0.9406526902347675,0.9371766622646113,0.05,0.9,30,4,2
C,44,RF,13,0.9406526902347675,0.9390073524850937,0.05,0.9,30,4,2
C,44,RF,14,0.9406526902347675,0.9395518671895,0.05,0.9,30,4,2
C,44,RF,15,0.9406526902347675,0.9405121703110498,0.05,0.9,30,4,2
C,44,RF,16,0.9406526902347675,0.9391439411966598,0.05,0.9,30,4,2
C,44,RF,17,0.9406526902347675,0.9402311304636142,0.05,0.9,30,4,2
C,44,RF,18,0.9406526902347675,0.9393047026808179,0.05,0.9,30,4,2
C,44,RF,19,0.9406526902347675,0.9391945450977606,0.05,0.9,30,4,2
C,44,RF,20,0.9406526902347675,0.9391743035373203,0.05,0.9,30,4,2
C,44,RF,21,0.9406526902347675,0.9402276174655212,0.05,0.9,30,4,2
C,44,RF,22,0.9406526902347675,0.9396923871132177,0.05,0.9,30,4,2
C,44,RF,23,0.9406526902347675,0.9398329070369356,0.05,0.9,30,4,2
C,44,RF,24,0.9406526902347675,0.9396923871132177,0.05,0.9,30,4,2
C,44,RF,25,0.9406526902347675,0.9395518671895,0.05,0.9,30,4,2
C,44,RF,26,0.9406526902347675,0.9386165503715467,0.05,0.9,30,4,2
C,44,RF,27,0.9406526902347675,0.9394417096064427,0.05,0.9,30,4,2
C,44,RF,28,0.9406526902347675,0.9392980948986906,0.05,0.9,30,4,2
C,44,RF,29,0.9406526902347675,0.939318336459131,0.05,0.9,30,4,2
C,44,RF,30,0.9406526902347675,0.9399602113963988,0.05,0.9,30,4,2
C,44,RF,31,0.9406526902347675,0.9400870975418035,0.05,0.9,30,4,2
C,44,RF,32,0.9406526902347675,0.9394452226045356,0.05,0.9,30,4,2
C,44,RF,33,0.9406526902347675,0.9387624463323284,0.05,0.9,30,4,2
C,44,RF,34,0.9406526902347675,0.9391439411966598,0.05,0.9,30,4,2
C,44,RF,35,0.9406526902347675,0.9398399330331214,0.05,0.9,30,4,2
C,44,RF,36,0.9406526902347675,0.9401042443182096,0.05,0.9,30,4,2
C,44,RF,37,0.9406526902347675,0.9401042443182096,0.05,0.9,30,4,2
C,44,RF,38,0.9406526902347675,0.9394078342676893,0.05,0.9,30,4,2
C,44,RF,39,0.9406526902347675,0.9393090292099153,0.05,0.9,30,4,2
C,44,RF,40,0.9406526902347675,0.9392809481222847,0.05,0.9,30,4,2
C,44,RF,41,0.9406526902347675,0.9397262624519712,0.05,0.9,30,4,2
C,44,RF,42,0.9406526902347675,0.9395464911524359,0.05,0.9,30,4,2
C,44,RF,43,0.9406526902347675,0.9392673143439716,0.05,0.9,30,4,2
C,44,RF,44,0.9406526902347675,0.9390337836136026,0.05,0.9,30,4,2
C,44,RF,45,0.9406526902347675,0.9398399330331214,0.05,0.9,30,4,2
C,44,RF,46,0.9406526902347675,0.9386219264086108,0.05,0.9,30,4,2
C,44,RF,47,0.9406526902347675,0.9393011896827249,0.05,0.9,30,4,2
C,44,RF,48,0.9406526902347675,0.939522318379844,0.05,0.9,30,4,2
C,44,RF,49,0.9406526902347675,0.9391606697590071,0.05,0.9,30,4,2
